Preprocessing,Model,Rc,Rp,MSEc,MSEp
None,LinearRegression,0.7789778474553671,0.7271016126223571,0.05160190663491018,0.06410886247029424
None,Ridge,0.7420490822609862,0.7471544923321523,0.06022364283539423,0.05939807132271001
None,Lasso,0.7126821852719434,0.7336224697250319,0.0670799142956932,0.06257699291547228
None,SVM_RBF,0.7401763029779216,0.8370444800841756,0.060660879468011755,0.038281255948215735
None,SVM_Linear,-42.32641428404636,-39.02346897093567,10.115391416520207,9.402250751636396
None,DecisionTree,1.0,0.7386177530298068,0.0,0.06140350877192982
None,RandomForest,0.9798919246511548,0.857356833074118,0.004694620040628337,0.03350950974336086
None,GradientBoosting,0.999685847443258,0.7932002946767337,7.334500508427863e-05,0.04858106343120438
None,MLP,-3.8332905454509696,-4.713761403530036,1.1284253844889607,1.3422678951198215
None,KernelRidge,0.8778619825774154,0.5596492455268819,0.028515488149272804,0.1034465107268721
SNV,LinearRegression,0.7789778474553671,0.7250254451342169,0.05160190663491018,0.06459659249039983
SNV,Ridge,0.7764283025502152,0.7310729994208139,0.05219714732297014,0.06317591049309443
SNV,Lasso,0.7504792897741224,0.7443173806983758,0.05825544744865386,0.060064561151728105
SNV,SVM_RBF,0.9522500874819407,0.8284754105412033,0.01114814284095097,0.040294288367013396
SNV,SVM_Linear,0.7546887500849941,0.7173780126934635,0.05727266732709522,0.0663931153621773
SNV,DecisionTree,1.0,0.6265967900425811,0.0,0.08771929824561403
SNV,RandomForest,0.9798885310836587,0.8402506513738757,0.0046954123347539645,0.037528067201874245
SNV,GradientBoosting,0.999685847443258,0.7142613428791595,7.334500508427863e-05,0.0671252785618595
SNV,MLP,0.9487533997285256,0.8296406131982511,0.011964512389911584,0.0400205607806817
SNV,KernelRidge,0.8874882630659156,0.7545877747056523,0.0262680463372638,0.05765185624989562
SG,LinearRegression,0.39499908757505564,0.45569847040075795,0.1412491926151298,0.12786646428643322
SG,Ridge,0.3697657119058547,0.4816124210531021,0.14714041338361267,0.12177879951714983
SG,Lasso,0.344321363580811,0.45584045957364083,0.15308088980888818,0.12783310841194787
SG,SVM_RBF,0.2296686597884573,0.38408874705315676,0.17984878636775603,0.14468890852929459
SG,SVM_Linear,-20.460198982751265,-20.83462644545515,5.0102995176056,5.129356304861078
SG,DecisionTree,0.9135443709022304,0.12137667847031774,0.020184742793438445,0.20640481691521392
SG,RandomForest,0.8699840208436243,0.4325474208397221,0.03035475105201913,0.1333050726513026
SG,GradientBoosting,0.964182195310742,0.3900548029469143,0.008362360931532881,0.14328737200700759
SG,MLP,-0.6283548186969399,-14.43965326060122,0.38017100256924463,3.6270592031867905
SG,KernelRidge,0.5024926273044574,0.20484842772837852,0.11615274170687766,0.1867957640924331
PCA,LinearRegression,0.6647054795394265,0.6908927405850849,0.0782810064095706,0.07261499407461804
PCA,Ridge,0.6647054793456488,0.6908931327582588,0.07828100645481177,0.07261490194590918
PCA,Lasso,0.6647007555349675,0.6906734523936591,0.07828210931999938,0.07266650891367796
PCA,SVM_RBF,0.7629106304858944,0.8563784323807082,0.05535310994370139,0.03373935410447045
PCA,SVM_Linear,-7.419539971800081,-7.3146548668197084,1.9657048423957733,1.9532657208680033
PCA,DecisionTree,1.0,0.7759580740255486,0.0,0.05263157894736842
PCA,RandomForest,0.9718525907034538,0.8631602657312023,0.006571558415356921,0.03214617641756229
PCA,GradientBoosting,0.9973997107477074,0.82838367097256,0.0006070879397189189,0.040315839683038944
PCA,MLP,0.6182156422568537,0.5274168852075396,0.08913496025676719,0.11101848641592658
PCA,KernelRidge,0.7574251301408476,0.734158233648456,0.05663380635078987,0.062451132092279475
Derivative,LinearRegression,0.15607047709476018,0.061167121253722256,0.1969082523510318,0.22003895595615885
Derivative,Ridge,0.13724995291138542,0.06196019500788286,0.20129951539456298,0.21985307929502745
Derivative,Lasso,0.11526658650287758,0.0764775183161015,0.20642874259044305,0.21645058164466371
Derivative,SVM_RBF,0.1818149247684281,0.1113873236316133,0.190901478015524,0.20826859602384062
Derivative,SVM_Linear,-7.173387613482461,-5.927704294058586,1.9070401343680847,1.623680693919981
Derivative,DecisionTree,0.7024627703645561,-0.21170481193322632,0.06942230874350079,0.28399331529684996
Derivative,RandomForest,0.7825604100000085,0.18416687428485667,0.050733679171964155,0.19121088883948673
Derivative,GradientBoosting,0.9380592490918112,0.16608274193835115,0.014452208009805038,0.19544935735819896
Derivative,MLP,-2.630636760072317,-4.088286700331242,0.8471114233404117,1.192567195390135
Derivative,KernelRidge,0.5476132774067966,-0.181731944786504,0.10555227245278023,0.27696842455933685
Standardization,LinearRegression,0.7789778474553671,0.7250254451342169,0.05160190663491018,0.06459659249039983
Standardization,Ridge,0.7764283025502152,0.7310729994208139,0.05219714732297014,0.06317591049309443
Standardization,Lasso,0.7504792897741224,0.7443173806983758,0.05825544744865386,0.060064561151728105
Standardization,SVM_RBF,0.9522500874819407,0.8284754105412033,0.01114814284095097,0.040294288367013396
Standardization,SVM_Linear,0.7546887500849941,0.7173780126934635,0.05727266732709522,0.0663931153621773
Standardization,DecisionTree,1.0,0.5892564690468391,0.0,0.09649122807017543
Standardization,RandomForest,0.9798885310836587,0.8402506513738757,0.0046954123347539645,0.037528067201874245
Standardization,GradientBoosting,0.999685847443258,0.7142613428791595,7.334500508427863e-05,0.0671252785618595
Standardization,MLP,0.9487533997285256,0.8296406131982511,0.011964512389911584,0.0400205607806817
Standardization,KernelRidge,0.8874882630659156,0.7545877747056523,0.0262680463372638,0.05765185624989562
