mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_rf__max_depth,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8486723899841309,0.08286267474566553,0.0025261878967285157,0.001165806612748126,2,5,2,100,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9144445565170595,0.8893520216287085,0.864666335735691,0.89904755120695,0.8222653300254001,0.8779551590227619,0.032200010847568565,4
3.6209675312042235,0.17441487491007063,0.0038368701934814453,0.001088507149833548,2,5,2,200,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9043568471371325,0.8894751605586084,0.8642511543734842,0.9054461264790801,0.8176410805917833,0.8762340738280177,0.03285206231434054,23
5.61208701133728,0.32589110188569465,0.005521154403686524,0.002343255532938825,2,5,2,300,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",0.9026391554528106,0.8891690290450489,0.8662893186391185,0.9045316994911179,0.8200587525197455,0.8765375910295683,0.031366865596179995,19
1.8444286823272704,0.0978962805065973,0.002167034149169922,0.0005392697161385711,2,5,5,100,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9075091267910843,0.8862113636166934,0.8645183758585547,0.9016918827382114,0.8233316263958617,0.876652475080081,0.030531382245364665,17
3.6976487159729006,0.12259658313425788,0.0036401271820068358,0.000676418365503167,2,5,5,200,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.8970415557435557,0.8879635471237143,0.8638727472094707,0.9066977641011704,0.8211342236105054,0.8753419675576832,0.03060517895485443,37
5.775873136520386,0.3094644668831286,0.005603170394897461,0.0026309583976623432,2,5,5,300,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.896440162513571,0.8879468740968193,0.8662699090905033,0.9058435780386745,0.8233380556321092,0.8759677158743354,0.029390872858106654,30
1.8934297561645508,0.1329890034051675,0.00301213264465332,0.001368634799189514,2,5,10,100,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.908326950532949,0.8900774077880077,0.8669719017144262,0.8975753102763363,0.8196917332207683,0.8765286607064976,0.03149421918362769,20
3.859972333908081,0.19476657695205377,0.003700447082519531,0.001325446498160651,2,5,10,200,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 200}",0.899743352288197,0.8896169889067086,0.8672027123779366,0.9032073705017747,0.8213285376868044,0.8762197923522843,0.030184531442331727,25
5.824533557891845,0.1495927585868349,0.004958295822143554,0.0012842696849520428,2,5,10,300,"{'poly__degree': 2, 'rf__max_depth': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.9007063348498998,0.8887517006922845,0.8679905758298524,0.903195210380195,0.8250587276373158,0.8771405098779095,0.028862600754064147,11
1.9429946422576905,0.1814912671679964,0.002382516860961914,0.0009995900850411818,2,10,2,100,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9039179234972677,0.8879420634920635,0.8627324747474747,0.8991571428571429,0.8199112852664576,0.8747321779720814,0.030894047586771806,42
3.7297913074493407,0.2088408819578036,0.004567146301269531,0.0019591866236494397,2,10,2,200,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.8978002868852459,0.8875100198412699,0.8628933333333333,0.9056681972789116,0.8162836468129572,0.8740310968303436,0.03226880737002595,44
5.6466978073120115,0.29705530537376057,0.007147932052612304,0.002398725097211945,2,10,2,300,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",0.8975208500303582,0.8883696649029983,0.8651279910213243,0.9049481859410431,0.8183507720887031,0.8748634927968855,0.03127084546348641,38
1.8660013198852539,0.1140515551855534,0.0025901317596435545,0.0014134986951254225,2,10,5,100,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.9060464676061454,0.8855272854173415,0.8635932977713644,0.9017035518413431,0.8228111829591758,0.8759363571190739,0.03045386092633276,33
3.6723684787750246,0.20365548379141898,0.003533744812011719,0.0005576091932241564,2,10,5,200,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.8948142833947275,0.8869128427815571,0.8637700490701075,0.9066829672923946,0.8216917327850549,0.8747743750647684,0.030019862372523992,40
5.473381805419922,0.29614024325614197,0.006030368804931641,0.003433619587421809,2,10,5,300,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.8943545882962409,0.8882610019548824,0.8659768600923439,0.9058354805027012,0.8233512746850806,0.8755558411062498,0.029150451806340825,35
1.804821491241455,0.11084453319136116,0.001829242706298828,4.4918110922361715e-05,2,10,10,100,"{'poly__degree': 2, 'rf__max_depth': 10, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.9067450612998025,0.8895791338944959,0.8668901639151355,0.8975905221562931,0.8196995480945145,0.8761008858720482,0.031139946779317827,28
